,timestamp,location,customer_id,date
0,2019-09-02 07:03:00,dairy,2019-09-02_1,2019-09-02
1,2019-09-02 07:03:00,dairy,2019-09-02_2,2019-09-02
2,2019-09-02 07:04:00,dairy,2019-09-02_3,2019-09-02
3,2019-09-02 07:04:00,dairy,2019-09-02_4,2019-09-02
4,2019-09-02 07:04:00,spices,2019-09-02_5,2019-09-02
5,2019-09-02 07:04:00,spices,2019-09-02_6,2019-09-02
6,2019-09-02 07:04:00,spices,2019-09-02_7,2019-09-02
7,2019-09-02 07:04:00,fruit,2019-09-02_8,2019-09-02
8,2019-09-02 07:05:00,checkout,2019-09-02_1,2019-09-02
9,2019-09-02 07:05:00,checkout,2019-09-02_5,2019-09-02
10,2019-09-02 07:05:00,dairy,2019-09-02_6,2019-09-02
11,2019-09-02 07:05:00,drinks,2019-09-02_7,2019-09-02
12,2019-09-02 07:06:00,checkout,2019-09-02_2,2019-09-02
13,2019-09-02 07:06:00,checkout,2019-09-02_3,2019-09-02
14,2019-09-02 07:06:00,dairy,2019-09-02_9,2019-09-02
15,2019-09-02 07:06:00,fruit,2019-09-02_10,2019-09-02
16,2019-09-02 07:06:00,drinks,2019-09-02_11,2019-09-02
17,2019-09-02 07:06:00,spices,2019-09-02_12,2019-09-02
18,2019-09-02 07:06:00,dairy,2019-09-02_13,2019-09-02
19,2019-09-02 07:06:00,fruit,2019-09-02_14,2019-09-02
20,2019-09-02 07:07:00,checkout,2019-09-02_8,2019-09-02
21,2019-09-02 07:07:00,drinks,2019-09-02_12,2019-09-02
22,2019-09-02 07:07:00,spices,2019-09-02_15,2019-09-02
23,2019-09-02 07:07:00,dairy,2019-09-02_16,2019-09-02
24,2019-09-02 07:08:00,checkout,2019-09-02_4,2019-09-02
25,2019-09-02 07:08:00,checkout,2019-09-02_10,2019-09-02
26,2019-09-02 07:08:00,checkout,2019-09-02_11,2019-09-02
27,2019-09-02 07:08:00,fruit,2019-09-02_15,2019-09-02
28,2019-09-02 07:09:00,spices,2019-09-02_7,2019-09-02
